name,author,narrator,time,releasedate,language,stars,price
Scorpia,Writtenby:AnthonyHorowitz,Narratedby:OliverChris,8 hrs and 26 mins,30-01-20,English,4.5 out of 5 stars2 ratings,645.00
A Con Artist in Paris,Writtenby:FranklinW.Dixon,Narratedby:TimGregory,3 hrs,05-09-17,English,4.5 out of 5 stars4 ratings,305.00
Tunnel of Bones,Writtenby:VictoriaSchwab,Narratedby:RebaBuhr,5 hrs and 5 mins,03-09-19,English,4.5 out of 5 stars8 ratings,492.00
The 13-Storey Treehouse,Writtenby:AndyGriffiths,Narratedby:StigWemyss,1 hr and 36 mins,10-05-17,English,5 out of 5 stars1 rating,323.00
"The 39 Clues, Book 9",Writtenby:LindaSuePark,Narratedby:DavidPittu,4 hrs and 45 mins,24-05-10,English,5 out of 5 stars7 ratings,469.00
Kid Normal and the Rogue Heroes,"Writtenby:ChrisSmith,GregJames","Narratedby:ChrisSmith,GregJames",6 hrs and 18 mins,06-12-18,English,5 out of 5 stars5 ratings,569.00
Shine of the Silver Dragon,Writtenby:TraceyWest,Narratedby:EmilyEllet,46 mins,07-07-20,English,Not rated yet,164.00
Treasure of the Gold Dragon,Writtenby:TraceyWest,Narratedby:EmilyEllet,45 mins,04-08-20,English,4 out of 5 stars1 rating,164.00
The Jungle Book,Writtenby:RudyardKipling,Narratedby:GreatAmericanAudioStudioTalent,3 hrs and 31 mins,02-09-08,English,Not rated yet,501.00
"The 1,000-Year-Old Boy",Writtenby:RossWelford,"Narratedby:ChrisCoxon,LukeJohnson",7 hrs and 24 mins,11-01-18,English,4.5 out of 5 stars11 ratings,322.00
Strangers on a Train,Writtenby:CarolynKeene,Narratedby:JorjeanaMarie,3 hrs and 19 mins,28-12-14,English,4.5 out of 5 stars17 ratings,305.00
Darkstalker,Writtenby:TuiT.Sutherland,Narratedby:ShannonMcManus,9 hrs and 50 mins,01-07-16,English,5 out of 5 stars11 ratings,656.00
Peter Rabbit 2,Writtenby:Puffin,Narratedby:EmiliaFox,3 hrs and 28 mins,23-01-20,English,Not rated yet,615.00
Dinosaurs Before Dark,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,41 mins,22-08-06,English,5 out of 5 stars1 rating,301.00
The Outcast,Writtenby:KathrynLasky,Narratedby:PamelaGarelick,4 hrs and 51 mins,20-02-09,English,Not rated yet,468.00
Wave of the Sea Dragon,Writtenby:TraceyWest,Narratedby:EmilyEllet,47 mins,20-07-21,English,Not rated yet,164.00
Escape from Aurora,Writtenby:JamieLittler,Narratedby:JoshuaMcGuire,8 hrs and 57 mins,01-10-20,English,Not rated yet,615.00
The Monkey King,Writtenby:ShobhaViswanath,Narratedby:SaeedJaffrey,27 mins,06-03-20,English,5 out of 5 stars4 ratings,284.00
Getting Granny’s Glasses,Writtenby:RuskinBond,Narratedby:RuskinBond,19 mins,29-11-19,English,4 out of 5 stars4 ratings,200.00
Where the Red Fern Grows,Writtenby:WilsonRawls,Narratedby:AnthonyHeald,6 hrs and 56 mins,24-10-03,English,4.5 out of 5 stars7 ratings,"1,005.00"
"The 39 Clues, Book 10",Writtenby:MargaretPetersonHaddix,Narratedby:DavidPittu,7 hrs and 8 mins,23-09-10,English,5 out of 5 stars7 ratings,469.00
Future of the Time Dragon,Writtenby:TraceyWest,Narratedby:EmilyEllet,48 mins,02-03-21,English,Not rated yet,164.00
Field Trip Fiasco,Writtenby:JamesPatterson,Narratedby:MichaelCrouch,3 hrs and 45 mins,04-02-21,English,Not rated yet,615.00
"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 2",Writtenby:DavPilkey,"Narratedby:LenForgione,BenD'Amico,I’keMitchell",1 hr and 23 mins,03-11-20,English,4 out of 5 stars1 rating,258.00
The Carpet People,Writtenby:TerryPratchett,Narratedby:DavidTennant,5 hrs and 2 mins,22-04-21,English,5 out of 5 stars1 rating,615.00
Clash at Fatal Fields,Writtenby:DevinHunter,Narratedby:RamondeOcampo,2 hrs and 13 mins,28-08-18,English,5 out of 5 stars1 rating,585.00
Deception on the Set,Writtenby:FranklinW.Dixon,Narratedby:TimGregory,2 hrs and 41 mins,23-05-16,English,5 out of 5 stars4 ratings,305.00
The Tale of Tom Kitten,Writtenby:BeatrixPotter,Narratedby:JoanWalker,5 mins,08-03-18,English,Not rated yet,93.00
"20.000 Leguas de viaje submarino [20,000 Leagues Under the Sea]",Writtenby:JulioVerne,"Narratedby:AdolfoDuncan,AldoLumbía,MiguelDurán,",1 hr and 34 mins,22-03-13,spanish,Not rated yet,397.00
Dungeons & Detectives,Writtenby:FranklinW.Dixon,Narratedby:TimGregory,5 hrs and 9 mins,22-10-19,English,Not rated yet,305.00
A Script for Danger,Writtenby:CarolynKeene,Narratedby:JorjeanaMarie,2 hrs and 56 mins,22-09-15,English,4.5 out of 5 stars5 ratings,305.00
The Battle of Bayport,Writtenby:FranklinW.Dixon,Narratedby:TimGregory,3 hrs and 30 mins,07-03-16,English,5 out of 5 stars6 ratings,305.00
Capitaine,Writtenby:MadamedeNanteuil,Narratedby:EmmanuelleLemée,8 hrs and 2 mins,12-01-22,french,Not rated yet,225.00
Iron Man - Rymdfantomernas invasion!,Writtenby:Marvel,Narratedby:BenjaminHagberg,1 hr and 3 mins,11-01-22,swedish,Not rated yet,65.00
City of Ghosts - Im Reich der vergessenen Geister,Writtenby:VictoriaSchwab,Narratedby:Carolin-ThereseWolff,5 hrs and 17 mins,10-01-22,german,Not rated yet,501.00
Ariana y Arcana,Writtenby:AlejandroKhan,Narratedby:MartaAlmazán,56 mins,11-01-22,spanish,Not rated yet,76.00
La aventura de Amunet,Writtenby:AlejandroKhan,Narratedby:MartaAlmazán,44 mins,11-01-22,spanish,Not rated yet,76.00
Amigos de verdad,Writtenby:AlejandroKhan,Narratedby:MartaAlmazán,29 mins,11-01-22,spanish,Not rated yet,76.00
"Pan, nuestro hermano del bosque",Writtenby:AlejandroKhan,Narratedby:MartaAlmazán,51 mins,11-01-22,spanish,Not rated yet,76.00
PJ Masks - Vet aquí els Mini Llops!,"Writtenby:eOne,AnaC.AlcainaPerez",Narratedby:RogerSerradell,11 mins,07-01-22,catalan,Not rated yet,38.00
Ufo in Seenot,Writtenby:UlfBlanck,Narratedby:OliverRohrbeck,1 hr and 49 mins,12-01-22,german,Not rated yet,233.00
The Chromatics Camp at The Musical Mountain,Writtenby:JulieKirchhubel,Narratedby:DanielSmerdon,2 hrs and 45 mins,03-01-22,English,Not rated yet,469.00
Attack of the Shadow-Crafters,Writtenby:MarkCheverton,Narratedby:NickWalther,6 hrs and 29 mins,28-12-21,English,Not rated yet,703.00
Не буду просить прощения,Writtenby:СофьяЛеонидовнаПрокофьева,Narratedby:ЛюбовьПоволоцкая,45 mins,30-12-21,russian,Not rated yet,99.00
Ritter Klapperschwert und die große Freundschaft,Writtenby:Hans-PeterHain,Narratedby:Hans-PeterHain,41 mins,30-12-21,german,Not rated yet,166.00
H@Ck - Het instituut,Writtenby:MirjamMous,"Narratedby:JipvandenDool,LidewijMahler",9 hrs and 53 mins,29-12-21,dutch,Not rated yet,502.00
Маленький лорд Фаунтлерой,Writtenby:ФренсисЭлизаБёрнетт,Narratedby:ЛюбовьПоволоцкая,6 hrs and 54 mins,30-12-21,russian,Not rated yet,99.00
Głupi Funio,Writtenby:JerzyA.Wlazło,Narratedby:GabrielaJaskuła,1 hr and 38 mins,22-12-21,polish,Not rated yet,267.00
Un problema con alas,"Writtenby:PedroMañas,DavidSierraListón",Narratedby:ElenaSilva,1 hr and 3 mins,03-01-22,spanish,Not rated yet,384.00
Die Meckerpause,Writtenby:AnnemarieNorden,Narratedby:CathrinBürger,55 mins,23-12-21,german,Not rated yet,233.00
El Club de la Luna Llena,"Writtenby:PedroMañas,DavidSierraListón",Narratedby:ElenaSilva,1 hr and 11 mins,03-01-22,spanish,Not rated yet,384.00
Spider-Man - En samling berättelser,"Writtenby:Marvel,CamillaDunér",Narratedby:BenjaminHagberg,1 hr,17-12-21,swedish,Not rated yet,65.00
Enigma en el puente del naranjo,Writtenby:MaríaMenéndez-Ponte,Narratedby:HelenaOvalle,4 hrs and 45 mins,20-12-21,spanish,Not rated yet,268.00
Penny Berry y la cripta de los olvidados,Writtenby:LluísPrats,Narratedby:ArantxadeSarabia,6 hrs and 32 mins,20-12-21,spanish,Not rated yet,307.00
Penny Berry y la pócima mágica,Writtenby:LluísPrats,Narratedby:ArantxadeSarabia,7 hrs and 41 mins,20-12-21,spanish,Not rated yet,307.00
La casa embrujada,Writtenby:MaríaMenéndez-Ponte,Narratedby:HelenaOvalle,4 hrs and 46 mins,20-12-21,spanish,Not rated yet,268.00
Lady och Lufsen,"Writtenby:Disney,Ann-SofiJoskitt",Narratedby:LisaAhnlund,2 hrs and 37 mins,15-12-21,swedish,Not rated yet,166.00
Тишина на задней парте!,"Writtenby:АлександрЦыпкин,АллаЛихачёва,АлександрЕгоров,","Narratedby:ЕленаДельвер,ИгорьСергеев,МаксимСергеев,",3 hrs and 5 mins,23-12-21,russian,Not rated yet,200.00
James und die fischige Fracht / Hiro und die widerspenstigen Waggons,Writtenby:BurkardMiltenberger,Narratedby:MontyArnold,10 mins,14-12-21,german,Not rated yet,65.00
Avengers - God Jul!,"Writtenby:Marvel,MariaNilsson",Narratedby:JohnLalér,6 mins,20-12-21,swedish,Not rated yet,32.00
En busca del señor T,Writtenby:BeatrizBerrocal,Narratedby:CarlosQuintero,3 hrs and 19 mins,15-12-21,spanish,Not rated yet,153.00
Avengers - TRE spektakulära äventyr!,"Writtenby:Marvel,HannaGraf,IdaJohansson",Narratedby:BenjaminHagberg,2 hrs and 35 mins,21-12-21,swedish,Not rated yet,166.00
Captain America och morgondagens armé!,Writtenby:Marvel,Narratedby:BenjaminHagberg,1 hr and 4 mins,21-12-21,swedish,Not rated yet,65.00
Superhjältarna,"Writtenby:Disney,IdaJohansson",Narratedby:BenjaminHagberg,2 hrs and 27 mins,21-12-21,swedish,Not rated yet,166.00
Лесные истории,Writtenby:ЭдуардШим,Narratedby:МаксимСергеев,50 mins,22-12-21,russian,Not rated yet,99.00
Spider-Man - Kortslutning,Writtenby:Marvel,Narratedby:SebastianKarlsson,5 mins,21-12-21,swedish,Not rated yet,32.00
Перчатки Ариадны,Writtenby:АннаЛетягина,Narratedby:ЕленаДельвер,4 hrs and 4 mins,23-12-21,russian,Not rated yet,200.00
The Far-Finding Ring,Writtenby:A.M.Luzzader,Narratedby:JenniferJillAraya,4 hrs and 28 mins,21-12-21,English,Not rated yet,469.00
When the War Came Home,Writtenby:LesleyParr,Narratedby:MayaGrant,5 hrs and 20 mins,06-01-22,English,Not rated yet,493.00
Modig - Meridas önskan,"Writtenby:Disney,OskarBlomberg",Narratedby:MalinLybeck,1 hr and 9 mins,08-12-21,swedish,Not rated yet,65.00
Il viaggio leggendario di Erick e Dominick,Writtenby:DinsiemE,Narratedby:DinsiemE,2 hrs and 59 mins,14-12-21,italian,Not rated yet,267.00
Doctor Strange - Vejen til viden,"Writtenby:Marvel,BrianIskov",Narratedby:MathiasKlenske,6 mins,09-12-21,danish,Not rated yet,32.00
Pyjamasheltene - Kattedreng og den store fødselsdagskageredning,"Writtenby:eOne,TineS.Norbøll",Narratedby:MathiasKlenske,7 mins,09-12-21,danish,Not rated yet,32.00
Pyjamasheltene redder dagen!,"Writtenby:eOne,TineS.Norbøll",Narratedby:MathiasKlenske,34 mins,09-12-21,danish,Not rated yet,99.00
The Great Zombie Invasion,Writtenby:MarkCheverton,Narratedby:NickWalther,5 hrs and 50 mins,14-12-21,English,Not rated yet,703.00
The Buried Crown,Writtenby:AllySherrick,Narratedby:CharlotteStrevens,7 hrs and 23 mins,01-01-22,English,Not rated yet,733.00
The Wishing Star & The North Pole Picnic,Writtenby:EmmaBeswetherick,Narratedby:HayleyWareham,1 hr and 58 mins,01-01-22,English,Not rated yet,573.00
Cora y los Corales,Writtenby:DagmardeMendieta,Narratedby:MercèMontalà,14 mins,02-12-21,spanish,Not rated yet,65.00
Fortidens skygger,Writtenby:KennethBøghAndersen,Narratedby:KennethBøghAndersen,3 hrs and 8 mins,03-12-21,danish,Not rated yet,434.00
Racconti dall'India,Writtenby:MarinaIuele,Narratedby:MarinaIuele,2 hrs and 22 mins,30-11-21,italian,Not rated yet,228.00
Piratbarn har ikke længere brug for sin sut,Writtenby:AnnetteHerzog,Narratedby:MartinJohs.Møller,7 mins,13-01-22,danish,Not rated yet,32.00
Alpaca My Bags,Writtenby:JennyGoebel,Narratedby:SuzyJackson,6 hrs and 25 mins,07-12-21,English,Not rated yet,703.00
L'île du mage,Writtenby:RémiFaure,Narratedby:Louane,4 hrs and 44 mins,22-12-21,french,Not rated yet,263.00
Speedy,Writtenby:ColinThiele,Narratedby:AnnaSteen,1 hr and 41 mins,01-01-22,English,Not rated yet,531.00
The Santa List,Writtenby:KieranCrowley,Narratedby:JohnCormack,3 hrs and 2 mins,01-12-21,English,Not rated yet,600.00
Paradise Pirates retten Captain Scratch,Writtenby:JaySpencer,Narratedby:StefanKaminski,2 hrs and 6 mins,12-01-22,german,Not rated yet,300.00
Loca por Hugo,"Writtenby:FedericoMoccia,RobSimeoni-traductor",Narratedby:LauraMonedero,2 hrs and 17 mins,25-11-21,spanish,Not rated yet,384.00
Ninja Niller - Blodets Bånd: Del 4,Writtenby:RuneFleischer,Narratedby:IbenHaaest,4 mins,23-11-21,danish,Not rated yet,32.00
Marvel - Den stora sagosamlingen,"Writtenby:Marvel,PetterMattsson",Narratedby:SebastianKarlsson,1 hr and 41 mins,25-11-21,swedish,Not rated yet,99.00
Bilar 3,"Writtenby:Disney,NilsWadström",Narratedby:BenjaminHagberg,3 hrs and 6 mins,25-11-21,swedish,Not rated yet,166.00
Falcon - Fäkta eller flyga,Writtenby:Marvel,Narratedby:SebastianKarlsson,49 mins,25-11-21,swedish,Not rated yet,65.00
Barbie - Aventura en el espacio,"Writtenby:Mattel,NicolásOluchaSánchez",Narratedby:BeatrizOlcina,12 mins,29-11-21,spanish,Not rated yet,38.00
El misterio de la virgulina inmortal,"Writtenby:RobertoSantiago,ÁngelaArmero",Narratedby:IreneMirasGuillén,6 hrs and 6 mins,23-11-21,spanish,Not rated yet,384.00
Ein Mädchen namens Owl,Writtenby:AmyWilson,Narratedby:MarionvonStengel,7 hrs and 13 mins,18-11-21,german,Not rated yet,535.00
Antigua de Fortune of the High Seas,"Writtenby:OliHyatt,AnnaRainbow",Narratedby:KateMalyon,7 hrs and 20 mins,17-11-21,English,Not rated yet,968.00
The Smidgens,Writtenby:DavidO'Connell,Narratedby:CharlotteStrevens,3 hrs and 25 mins,17-11-21,English,Not rated yet,854.00
Revolució a la botiga d'animals,"Writtenby:AnaJuan,LaraEstany-traductor",Narratedby:CarmeAmbrós,9 mins,18-11-21,catalan,Not rated yet,384.00
Te regalo el mundo,"Writtenby:CarmenSaldaña-ilustrador,StaceyMcCleary",Narratedby:MireiaMaymíiJosa,3 mins,18-11-21,spanish,Not rated yet,384.00
Et regalo el món,"Writtenby:CarmenSaldaña-ilustrador,StaceyMcCleary",Narratedby:MireiaMaymíiJosa,3 mins,18-11-21,catalan,Not rated yet,384.00
Revolución en la tienda de animales,Writtenby:AnaJuan,Narratedby:CarmeAmbrós,9 mins,18-11-21,spanish,Not rated yet,384.00
Ribblestrop Forever!,Writtenby:AndyMulligan,Narratedby:TomHollander,9 hrs and 31 mins,04-01-22,English,Not rated yet,569.00
"Это грузовик, а это прицеп",Writtenby:АнастасияОрлова,Narratedby:АнатолийБелый,49 mins,17-11-21,russian,Not rated yet,65.00
Страна Хороших Девочек,Writtenby:АннаСтаробинец,Narratedby:ЮлияЯблонская,1 hr and 33 mins,16-11-21,russian,Not rated yet,99.00
Записки институтки,Writtenby:ЛидияЧарская,Narratedby:НатальяРычкова,5 hrs,22-11-21,russian,Not rated yet,99.00
Синичкин календарь,Writtenby:ВиталийБианки,Narratedby:МаринаТитова,46 mins,17-11-21,russian,Not rated yet,132.00
Новые правила поведения для воспитанных детей,"Writtenby:ГалинаПетровнаШалаева,О.М.Журавлева",Narratedby:ЛюбовьПоволоцкая,1 hr and 17 mins,16-11-21,russian,Not rated yet,166.00
Поллианна,Writtenby:ЭлионорПортер,Narratedby:ГригорийЕлисеев,2 hrs and 13 mins,18-11-21,russian,Not rated yet,166.00
Психология окружающего мира. Дуня и кот Кисель на конюшне,"Writtenby:ЛарисаСуркова,ОльгаТолкачева",Narratedby:КсенияБржезовская,1 hr and 17 mins,17-11-21,russian,Not rated yet,233.00
Тринадцатый подвиг Геракла. Рассказы о Чике (Сборник),Writtenby:ФазильИскандер,Narratedby:ИгорьКнязев,11 hrs and 37 mins,16-11-21,russian,Not rated yet,468.00
Единорог для круглой принцессы,Writtenby:КоллективАвторов,Narratedby:МаринаТитова,2 hrs and 30 mins,17-11-21,russian,Not rated yet,166.00
Четыре желания,Writtenby:КонстантинУшинский,Narratedby:ЮрийЛазарев,46 mins,17-11-21,russian,Not rated yet,132.00
Нектар для души. Вдохновляющие истории для детей 7-10 лет,"Writtenby:МаринаВладимова,ФаридаКривушенкова","Narratedby:СеменМендельсон,ЕленаДельвер",4 hrs and 32 mins,16-11-21,russian,Not rated yet,166.00
"Ага, попался!","Writtenby:КатяМатюшкина,КатяОковитая","Narratedby:СеменМендельсон,ЕленаХрусталева",2 hrs and 21 mins,18-11-21,russian,Not rated yet,99.00
Васюткино озеро. Рассказы для детей,Writtenby:ВикторАстафьев,Narratedby:КонстантинКорольков,7 hrs and 20 mins,16-11-21,russian,Not rated yet,200.00
Das Feuer,"Writtenby:ShannonMessenger,DorisAttwood",Narratedby:DavidNathan,16 hrs and 54 mins,30-11-21,german,Not rated yet,468.00
Familie Maulwurf auf der Flucht,Writtenby:SebastianEder,Narratedby:BrigitteCarlsen,2 hrs and 20 mins,15-12-21,german,Not rated yet,367.00
Die Spiegelspringer - Im Bann der Geschichten,Writtenby:MonaHerbst,Narratedby:HannahSchepmann,6 hrs and 38 mins,26-11-21,german,Not rated yet,334.00
The Attack,Writtenby:KatherineApplegate,Narratedby:MacLeodAndrews,3 hrs and 2 mins,04-01-22,English,Not rated yet,445.00
Symbiosis,Writtenby:NicStone,Narratedby:AnikaNoniRose,5 hrs and 41 mins,04-01-22,English,Not rated yet,656.00
Stella und der Mondscheinvogel,"Writtenby:CatherineFisher,UlrikeKöbele-Übersetzer",Narratedby:UveTeschner,4 hrs and 10 mins,24-11-21,german,Not rated yet,401.00
Saids Schicksale,Writtenby:WilhelmHauff,Narratedby:AndreasJeßing,1 hr and 41 mins,16-12-21,german,Not rated yet,267.00
Surviving Jamestown,Writtenby:GailLangerKarwoski,Narratedby:AndrewFallaize,6 hrs and 13 mins,11-01-22,English,Not rated yet,866.00
¡Sálvese quien pueda!,Writtenby:JordiSierraiFabra,Narratedby:AnetaFernández,2 hrs and 47 mins,01-12-21,spanish,Not rated yet,192.00
Cuentos locos para niños inteligentes,Writtenby:JordiSierraiFabra,Narratedby:RamónRomero,2 hrs and 7 mins,01-12-21,spanish,Not rated yet,192.00
Wednesday: The Forest of Secrets,Writtenby:RalphLazar,"Narratedby:RiverDeFilippis,ChristineMarshall,LanceRogerAxt",1 hr and 1 min,16-12-21,English,Not rated yet,445.00
Ronan Boyle into the Strangeplace,Writtenby:ThomasLennon,Narratedby:ThomasLennon,5 hrs and 33 mins,16-11-21,English,Not rated yet,703.00
Girl Giant and the Jade War,Writtenby:VanHoang,Narratedby:KimMaiGuest,8 hrs and 49 mins,07-12-21,English,Not rated yet,"1,256.00"
Kidnapped Colt,Writtenby:TerriFarley,Narratedby:NatalieBudig,4 hrs and 2 mins,14-12-21,English,Not rated yet,398.00
Cómo como,Writtenby:EmiliTeixidor,Narratedby:NuriaSamsó,10 mins,18-08-20,spanish,Not rated yet,32.00
Der Zeitring,Writtenby:StefanieSieland,Narratedby:JohannesThielen,2 hrs and 4 mins,09-12-21,german,Not rated yet,334.00
Ivy & Bean Bound to Be Bad (Book 5),Writtenby:AnnieBarrows,Narratedby:HallieRicardo,1 hr and 13 mins,04-01-22,English,Not rated yet,500.00
Ivy & Bean Take Care of the Babysitter (Book 4),Writtenby:AnnieBarrows,Narratedby:HallieRicardo,1 hr and 11 mins,04-01-22,English,Not rated yet,500.00
Ivy & Bean Break the Fossil Record (Book 3),Writtenby:AnnieBarrows,Narratedby:HallieRicardo,1 hr and 8 mins,04-01-22,English,Not rated yet,500.00
Moonrise,Writtenby:TerriFarley,Narratedby:NatalieBudig,3 hrs and 27 mins,23-11-21,English,Not rated yet,398.00
Vega Jane and the End of Time,Writtenby:DavidBaldacci,Narratedby:KatySobey,9 hrs and 11 mins,06-01-22,English,Not rated yet,323.00
The Suspicion,Writtenby:KatherineApplegate,Narratedby:SisiAishaJohnson,3 hrs and 7 mins,07-12-21,English,Not rated yet,586.00
The Pretender,Writtenby:KatherineApplegate,Narratedby:MichaelCrouch,3 hrs and 23 mins,07-12-21,English,Not rated yet,492.00
Hide and Geek,Writtenby:T.P.Jagger,Narratedby:DaniceCabanela,6 hrs and 47 mins,04-01-22,English,Not rated yet,"1,005.00"
Sunlight on the Snow Leopard,Writtenby:MaryPopeOsborne,Narratedby:MaryPopeOsborne,1 hr,04-01-22,English,Not rated yet,402.00
Me and My Little Brain,Writtenby:JohnD.Fitzgerald,Narratedby:JasonCulp,3 hrs and 44 mins,07-12-21,English,Not rated yet,754.00
Coraline,Writtenby:NeilGaiman,Narratedby:RobertoPompili,3 hrs and 50 mins,22-08-18,italian,Not rated yet,420.00
The Van Gogh Deception,Writtenby:DeronHicks,Narratedby:P.J.Ochlan,7 hrs and 10 mins,29-09-20,English,Not rated yet,586.00
Moon Rising,Writtenby:TuiT.Sutherland,Narratedby:ShannonMcManus,7 hrs and 30 mins,29-08-16,English,5 out of 5 stars6 ratings,575.00
Abenteuer-Ferien bei Opa Balduin,"Writtenby:NorbertKlotz,MelanieKlotz",Narratedby:AlexBolte,1 hr and 20 mins,12-11-21,german,Not rated yet,233.00
Hello Kitty - La aventura animal,"Writtenby:Sanrio,NeusCasanovaVico",Narratedby:EvaAndrés,36 mins,10-11-21,spanish,Not rated yet,38.00
Hello Kitty - La estrella de televisión,"Writtenby:Sanrio,NeusCasanovaVico",Narratedby:EvaAndrés,39 mins,10-11-21,spanish,Not rated yet,38.00
Hello Kitty - Vacaciones en la playa,"Writtenby:Sanrio,NeusCasanovaVico",Narratedby:EvaAndrés,37 mins,10-11-21,spanish,Not rated yet,38.00
Hello Kitty - El misterio de la madalena,"Writtenby:Sanrio,NeusCasanovaVico",Narratedby:EvaAndrés,37 mins,10-11-21,spanish,Not rated yet,38.00
Hello Kitty - La búsqueda del tesoro,"Writtenby:Sanrio,NeusCasanovaVico",Narratedby:EvaAndrés,41 mins,10-11-21,spanish,Not rated yet,76.00
Hello Kitty - Sesión de belleza,"Writtenby:Sanrio,NeusCasanovaVico",Narratedby:EvaAndrés,33 mins,10-11-21,spanish,Not rated yet,38.00
Ravenburcht,Writtenby:InaDeMan,Narratedby:LaetitiaVandueren,5 hrs and 27 mins,10-11-21,dutch,Not rated yet,233.00
De Utrolige 2,"Writtenby:Disney,TineS.Norbøll",Narratedby:LarsThiesgaard,3 hrs and 12 mins,10-11-21,danish,Not rated yet,434.00
Ariadna y la luna Lunera,"Writtenby:JaumeCabré,QueraltArmengol-ilustrador,ConchaCardeñoso-traductor",Narratedby:ElisabetBargalló,21 mins,10-11-21,spanish,Not rated yet,384.00
L'Ariadna i la lluna Pruna,"Writtenby:JaumeCabré,QueraltArmengol-ilustrador",Narratedby:ElisabetBargalló,20 mins,10-11-21,catalan,Not rated yet,384.00
La Mariona i la Menjanits,"Writtenby:JaumeCabré,RominaMartí-ilustrador",Narratedby:ElisabetBargalló,20 mins,10-11-21,catalan,Not rated yet,384.00
Captain Underpants and the Attack of the Talking Toilets,Writtenby:DavPilkey,"Narratedby:LenForgione,DazjonFreeman,BenD'Amico",59 mins,26-06-18,English,5 out of 5 stars5 ratings,258.00
Holes,Writtenby:LouisSachar,Narratedby:KerryBeyer,4 hrs and 30 mins,24-05-16,English,4.5 out of 5 stars15 ratings,417.00
"The 39 Clues, Book 1",Writtenby:RickRiordan,Narratedby:DavidPittu,5 hrs and 11 mins,29-08-08,English,4.5 out of 5 stars11 ratings,468.00
"The Princess in Black, Books 1-3","Writtenby:ShannonHale,DeanHale",Narratedby:JuliaWhelan,55 mins,09-02-16,English,Not rated yet,754.00
Pyjamasankarit - Tässä tulee Pyjamarobotti!,"Writtenby:eOne,KimmoLilja",Narratedby:ValtteriLehtinen,10 mins,21-01-22,finnish,Not rated yet,32.00
Pyjamasankarit - Polkuvoimaa!,"Writtenby:eOne,KimmoLilja",Narratedby:ValtteriLehtinen,34 mins,21-01-22,finnish,Not rated yet,32.00
PJ Masks - Sigues un heroi!,"Writtenby:eOne,AnaC.AlcainaPerez-traductor",Narratedby:RogerSerradell,23 mins,24-01-22,catalan,Not rated yet,38.00
Pyjamasankarit - Ollaan sankareita,"Writtenby:eOne,KimmoLilja",Narratedby:ValtteriLehtinen,26 mins,21-01-22,finnish,Not rated yet,32.00
Pyjamasankarit - Tässä tulee susijengi,"Writtenby:eOne,KimmoLilja",Narratedby:ValtteriLehtinen,11 mins,21-01-22,finnish,Not rated yet,32.00
Pyjamasankarit - Kolli ja synttärikakun pelastusoperaatio,"Writtenby:eOne,KimmoLilja",Narratedby:ValtteriLehtinen,7 mins,21-01-22,finnish,Not rated yet,32.00
Fly High Crew: The Green Glow,"Writtenby:AshleyBanjo,JordanBanjo",Narratedby:TheoSolomon,5 hrs and 10 mins,20-01-22,English,Not rated yet,266.00
Vitello va a un cumpleaños de niñas,Writtenby:KimFupzAakeson,Narratedby:BenjamínFigueres,13 mins,19-01-22,spanish,Not rated yet,65.00
Vitello compra un maravilloso regalo de Navidad,Writtenby:KimFupzAakeson,Narratedby:BenjamínFigueres,13 mins,19-01-22,spanish,Not rated yet,65.00
Vitello salva el mundo,Writtenby:KimFupzAakeson,Narratedby:BenjamínFigueres,12 mins,19-01-22,spanish,Not rated yet,65.00
Vitello construye un Abominable Hombre de las Nieves,Writtenby:KimFupzAakeson,Narratedby:BenjamínFigueres,13 mins,19-01-22,spanish,Not rated yet,65.00
Vitello hace una obra de caridad,Writtenby:KimFupzAakeson,Narratedby:BenjamínFigueres,13 mins,19-01-22,spanish,Not rated yet,65.00
Vitello pide un deseo,Writtenby:KimFupzAakeson,Narratedby:BenjamínFigueres,12 mins,19-01-22,spanish,Not rated yet,65.00
Vitello pide un montón de chuches,Writtenby:KimFupzAakeson,Narratedby:BenjamínFigueres,12 mins,19-01-22,spanish,Not rated yet,65.00
Barbie - En busca de las cachorritas,"Writtenby:Mattel,NicolásOluchaSánchez",Narratedby:BeatrizOlcina,35 mins,19-01-22,spanish,Not rated yet,38.00
El misterio del ladrón narizotas,Writtenby:LuisaVillarLiébana,Narratedby:EstelaBenita,49 mins,21-01-22,spanish,Not rated yet,115.00
Willy y el arenque asesino,"Writtenby:JeffreyArcher,JesúsCañadas-traductor",Narratedby:EmilioBianchi,33 mins,19-01-22,spanish,Not rated yet,38.00
Pasado por auga,Writtenby:JeffKinney,"Narratedby:ÁngelesGarciaFigueiras,JoséCarlosPoloRodriguez",1 hr and 42 mins,19-01-22,galician,Not rated yet,38.00
PJ Masks - ¡Los niños lobunos!,"Writtenby:eOne,NicolásOluchaSánchez",Narratedby:RogerSerradell,10 mins,19-01-22,spanish,Not rated yet,38.00
Noémie Hollemechette,Writtenby:MagdeleineduGenestoux,Narratedby:EmmanuelleLemée,4 hrs and 54 mins,13-01-22,french,Not rated yet,225.00
